Kabupaten,Tahun,PrevalensiStunting,BayiBBLR,IbuNifasVitA,K4,IPM,MinumLayak,SanitasiLayak
KAB ASAHAN,2023,11,0.69,86.75,92.6,71.56,93.94,92.13
KAB ASAHAN,2022,15.3,0.4,62.23,87.23,71.13,92.92,89.33
KAB ASAHAN,2021,18.9,0.23,95.29,80,70.49,95.78,89.09
KAB BATU BARA,2023,17.7,0.59,97.13,86,70.31,97.21,92.54
KAB BATU BARA,2022,21.7,0.09,99.7,94.98,69.51,96.96,88.25
KAB BATU BARA,2021,30.9,0.86,99.7,92,68.58,97.83,88.04
KAB DAIRI,2023,32.6,1.62,98.73,71.3,73.27,92.31,94.42
KAB DAIRI,2022,28.6,0.95,99.05,66.43,72.56,96.68,94.14
KAB DAIRI,2021,34.2,0.98,89.72,113,71.84,91.9,92.35
KAB DELI SERDANG,2023,33.8,0.75,88.95,98.2,76.52,95.51,96.78
KAB DELI SERDANG,2022,13.9,0.11,85.39,94.89,76.19,97.38,91.13
KAB DELI SERDANG,2021,12.5,0.09,97.87,94,75.53,98.18,96.37
KAB HUMBANG HASUNDUTAN,2023,18.4,2.01,98.31,60.2,70.75,94.94,96.99
KAB HUMBANG HASUNDUTAN,2022,29.6,1.91,99.67,61.81,70.32,90.51,93.9
KAB HUMBANG HASUNDUTAN,2021,26.7,2.29,98.08,51,69.41,91.95,91.65
KAB KARO,2023,24.7,0.64,89,65.3,75.98,93.13,88.11
KAB KARO,2022,24.9,0.14,94.26,68.48,75.36,91.54,85.35
KAB KARO,2021,25.3,0.59,93.69,72,74.83,91.43,84.33
KAB LABUHAN BATU,2023,20.2,0.93,98.73,89.1,73.69,91.88,84.79
KAB LABUHAN BATU,2022,23.9,0.29,99.2,90.36,72.92,93.68,80.36
KAB LABUHAN BATU,2021,27,0.28,98.39,94,72.09,94.34,81.5
KAB LABUHAN BATU SELATAN,2023,16,0.96,87.95,65.9,72.82,90.47,87.49
KAB LABUHAN BATU SELATAN,2022,26.4,0.05,96.9,80.21,72.16,91.3,85.13
KAB LABUHAN BATU SELATAN,2021,27,0.05,90.24,88,71.69,84.66,84.85
KAB LABUHAN BATU UTARA,2023,9.6,0.27,97.56,79.7,73.63,95.48,84.75
KAB LABUHAN BATU UTARA,2022,7.3,0.35,100,75.84,72.77,93.04,81.82
KAB LABUHAN BATU UTARA,2021,30.9,0.58,99.68,74,71.87,86.75,79.75
